ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance	Kindom
BACasv211	0.001625376	0.001285201	0.001710181	0.001260557	0	0	0.012748797	0.004439064	0.2883647	Bac
BACasv212	0	0	0	0	0.001112053	0.000569942	0	0	0.021024938	Bac
BACasv213	0	0	0	0	0.001006143	0.000842523	0	0	0.023108325	Bac
BACasv214	0.00103433	0.001247401	0.001140121	0.001134501	0	0	0.004618187	0	0.11468175	Bac
BACasv215	0	0	0	0	0	0.000842523	0	0	0.010531538	Bac
BACasv216	0.002019406	0.002835003	0.002052218	0.00264717	0	0	0	0	0.119422463	Bac
BACasv217	0.002511944	0.002003402	0.004047429	0.002269003	0	0	0.002081436	0.004727315	0.220506613	Bac
BACasv218	0	0	0	0	0	0	0	0.004035513	0.050443913	Bac
BACasv219	0	0	0.000684073	0.000462204	0.000370684	0	0	0	0.018962013	Bac
BACasv220	0.003053736	0.002608203	0.002508266	0.001848817	0	0	0.001040718	0.001441254	0.156262425	Bac
BACasv221	0	0	0	0	0.001906376	0.000817743	0	0	0.034051488	Bac
BACasv222	0	0	0	0	0	0.000545162	0	0	0.006814525	Bac
BACasv223	0	0	0	0	0	0.000768182	0	0	0.009602275	Bac
BACasv224	0.00142836	0.002797203	0.001710181	0.003907727	0	0	0	0	0.123043388	Bac
BACasv225	0.001576122	0.001134001	0.001653175	0.002815244	0	0	0	0	0.089731775	Bac
BACasv226	0.004679111	0.003666604	0.005358568	0.005168284	0	0	0.007154937	0.003689611	0.371463938	Bac
BACasv227	0.000443284	0.000982801	0	0.002184966	0	0	0.00253675	0.003977862	0.126570788	Bac
BACasv228	0.00310299	0.002608203	0.003762399	0.00411782	0	0	0.00026018	0.000634152	0.1810718	Bac
BACasv229	0.004334335	0.003893404	0.003078326	0.003697634	0	0	0.00292702	0.003689611	0.270254125	Bac
BACasv231	0.003546274	0.001890002	0.000342036	0.000504223	0.001323872	0.000867303	0	0.001383604	0.123216425	Bac
BACasv232	0	0.001549802	0	0.001932854	0	0	0.010537271	0.006283869	0.25379745	Bac
BACasv233	0.005073142	0.003213003	0.002850302	0.00411782	0	0	0.001626122	0.004554364	0.267934413	Bac
BACasv234	0.003152244	0	0	0	0	0.000594722	0	0	0.046837075	Bac
BACasv235	0.000788061	0.000642601	0	0.000924409	0	0.0001239	0	0	0.030987138	Bac
BACasv236	0	0	0	0	0.000953188	0	0	0	0.01191485	Bac
BACasv237	0	0	0	0	0.003918661	0	0.001235853	0	0.064431425	Bac
BACasv238	0	0	0	0	0	0.000991203	0	0	0.012390038	Bac
BACasv239	0.00310299	0.002646003	0.001995211	0.001848817	0	0	0.004553142	0.005130866	0.240962863	Bac
BACasv240	0	0	0	0	0	0.001561145	0	0	0.019514313	Bac
BACasv241	0.000886568	0.000680401	0.001596169	0.003109374	0	0	0	0.003631961	0.123805913	Bac
BACasv242	0	0.000642601	0.000114012	0.00029413	0.002541834	0.001511585	0.001235853	0.000403551	0.084294575	Bac
BACasv243	0.00142836	0.002343602	0.000912097	0	0	0	0.002731885	0.002594258	0.125127525	Bac
BACasv244	0.002216421	0.002343602	0.002337248	0.002311021	0	0	0	0.003055459	0.153296888	Bac
BACasv245	0.003152244	0.001663202	0	0.002605151	0	0	0	0.00334371	0.134553838	Bac
BACasv246	0.001625376	0.003061803	0.000912097	0.003403504	0	0	0	0	0.11253475	Bac
BACasv247	0	0	0.000342036	0	0	0.000545162	0	0	0.011089975	Bac
BACasv248	0.002167167	0.001663202	0.003876411	0.002857263	0	0	0	0	0.132050538	Bac
BACasv249	0.002708959	0.001701002	0.003249344	0.00382369	0	0	0.001886302	0.005822668	0.239899563	Bac
BACasv250	0	0.001436401	0	0.001722761	0	0	0.001756212	0.003516661	0.105400438	Bac
BACasv251	0	0	0	0	0.000847278	0.001313344	0	0	0.027007775	Bac
BACasv253	0	0	0	0	0	0.00014868	0	0	0.0018585	Bac
BACasv254	0.005664188	0.007030807	0.009006955	0.009328123	0	0	0.000975673	0.001210654	0.415205	Bac
BACasv255	0	0	0	0	0	0	0.003837648	0.002824859	0.083281338	Bac
BACasv256	0.001773137	0.002948403	0.001197127	0.001680743	0	0	0.003447379	0.00657212	0.220236363	Bac
BACasv257	0.001576122	0.000831601	0.002052218	0.001596706	0.000582504	0	0.003057109	0	0.12120325	Bac
