label	Kindom	Abundance
BACasv284	Bac	0.0110821
BACasv285	Bac	0.0217293
BACasv286	Bac	0.20457765
BACasv287	Bac	0.110012038
BACasv288	Bac	0.03987075
BACasv289	Bac	0.191373975
BACasv290	Bac	0.170447225
BACasv291	Bac	0.042279175
BACasv292	Bac	0.042279175
BACasv293	Bac	0.1383222
BACasv294	Bac	0.1187991
BACasv295	Bac	0.070663438
BACasv296	Bac	0.06884995
BACasv297	Bac	0.040449338
BACasv300	Bac	0.008363275
BACasv302	Bac	0.123341738
BACasv303	Bac	0.14698195
BACasv304	Bac	0.0349162
BACasv305	Bac	0.024334613
BACasv306	Bac	0.025089825
BACasv307	Bac	0.105670763
BACasv308	Bac	0.037991325
BACasv309	Bac	0.04886505
BACasv310	Bac	0.174570525
BACasv312	Bac	0.21002295
BACasv313	Bac	0.087012325
BACasv314	Bac	0.038071838
BACasv315	Bac	0.054955325
BACasv316	Bac	0.053843663
BACasv317	Bac	0.059842925
BACasv318	Bac	0.050293663
BACasv320	Bac	0.141367963
BACasv321	Bac	0.030712525
BACasv322	Bac	0.057992375
BACasv323	Bac	0.00123875
BACasv324	Bac	0.00450625
BACasv325	Bac	0.009292525
BACasv326	Bac	0.047220963
BACasv327	Bac	0.196298175
BACasv328	Bac	0.070336813
BACasv329	Bac	0.03314885
BACasv330	Bac	0.016942263
BACasv331	Bac	0.048682388
BACasv332	Bac	0.035737775
BACasv333	Bac	0.266088763
BACasv334	Bac	0.086410113
BACasv335	Bac	0.112913925
BACasv337	Bac	0.050517075
BACasv338	Bac	0.08049855
BACasv339	Bac	0.056987488
BACasv340	Bac	0.0657754
BACasv341	Bac	0.40038855
BACasv342	Bac	0.10071135
BACasv343	Bac	0.097483575
BACasv344	Bac	0.028801638
BACasv345	Bac	0.053625663
BACasv346	Bac	0.0671828
BACasv347	Bac	0.066018488
BACasv349	Bac	0.069524875
BACasv350	Bac	0.1604432
BACasv351	Bac	0.006814525
BACasv352	Bac	0.30832035
BACasv353	Bac	0.112901563
BACasv354	Bac	0.127158213
BACasv355	Bac	0.125980375
BACasv356	Bac	0.032207463
BACasv357	Bac	0.0562843
BACasv359	Bac	0.010569788
BACasv360	Bac	0.048397175
BACasv361	Bac	0.060783138
BACasv362	Bac	0.154061738
BACasv363	Bac	0.05661635
BACasv364	Bac	0.07218645
BACasv365	Bac	0.037494313
BACasv366	Bac	0.011418663
BACasv368	Bac	0.066883438
BACasv369	Bac	0.080786988
BACasv370	Bac	0.089665138
BACasv371	Bac	0.036423038
BACasv372	Bac	0.012080288
BACasv373	Bac	0.012080288
