label	Kindom	Abundance
BACasv686	Bac	0.0057074
BACasv687	Bac	0.003619688
BACasv688	Bac	0.00688425
BACasv712	Bac	0.005935563
BACasv720	Bac	0.00059375
BACasv725	Bac	0.003858113
BACasv726	Bac	0.02065125
BACasv727	Bac	0.006313563
BACasv728	Bac	0.007105475
BACasv729	Bac	0.0116138
BACasv736	Bac	0.001689188
BACasv749	Bac	0.013399325
BACasv750	Bac	0.011810088
BACasv770	Bac	0.006132113
BACasv773	Bac	0.007041463
BACasv774	Bac	0.003264563
BACasv775	Bac	0.013324363
BACasv776	Bac	0.002654438
BACasv792	Bac	0.001252625
BACasv793	Bac	0.006920925
BACasv794	Bac	0.002967788
BACasv795	Bac	0.002413125
BACasv796	Bac	0.004537863
BACasv797	Bac	0.006254688
BACasv800	Bac	0.003632663
BACasv823	Bac	0.005121025
BACasv824	Bac	0.002505263
BACasv830	Bac	0.003757888
BACasv831	Bac	0.003757888
BACasv832	Bac	0.002171813
BACasv833	Bac	0.004084075
BACasv834	Bac	0.004084075
BACasv835	Bac	0.008857575
BACasv865	Bac	0.002374225
BACasv866	Bac	0.002374225
BACasv867	Bac	0.002374225
BACasv868	Bac	0.0019305
BACasv869	Bac	0.003630288
BACasv870	Bac	0.008725238
BACasv871	Bac	0.00500375
BACasv872	Bac	0.0078734
BACasv890	Bac	0.005717375
BACasv897	Bac	0.00207745
BACasv898	Bac	0.0029228
BACasv899	Bac	0.001689188
BACasv900	Bac	0.0031765
BACasv901	Bac	0.007634588
BACasv902	Bac	0.007634588
BACasv903	Bac	0.006357163
BACasv925	Bac	0.001780675
BACasv926	Bac	0.001780675
BACasv927	Bac	0.004908025
BACasv928	Bac	0.002505263
BACasv929	Bac	0.002505263
BACasv931	Bac	0.002505263
BACasv932	Bac	0.001447875
BACasv933	Bac	0.003263025
BACasv934	Bac	0.001447875
BACasv935	Bac	0.001447875
BACasv936	Bac	0.003752813
BACasv937	Bac	0.003752813
BACasv962	Bac	0.004208388
BACasv963	Bac	0.001483888
BACasv964	Bac	0.002671
BACasv965	Bac	0.001483888
BACasv966	Bac	0.002087713
BACasv967	Bac	0.00120625
BACasv968	Bac	0.00120625
BACasv969	Bac	0.002876425
BACasv970	Bac	0.002268938
BACasv971	Bac	0.002268938
BACasv972	Bac	0.002268938
BACasv973	Bac	0.003271963
BACasv988	Bac	0.005550125
BACasv993	Bac	0.00191125
BACasv994	Bac	0.0011875
BACasv995	Bac	0.00181515
BACasv996	Bac	0.003632663
BACasv997	Bac	0.0039367
BACasv1015	Bac	0.00089
BACasv1016	Bac	0.00089
BACasv1017	Bac	0.00089
BACasv1018	Bac	0.001361363
BACasv1019	Bac	0.001876413
BACasv1027	Bac	0.000835
BACasv1031	Bac	0.00059375
BACasv1032	Bac	0.000835
BACasv1033	Bac	0.000835
BACasv1034	Bac	0.002181313
FUNasv2	Fun	1.142265125
FUNasv3	Fun	2.824639225
FUNasv5	Fun	0.65181585
FUNasv6	Fun	6.26692145
FUNasv7	Fun	4.550379513
FUNasv8	Fun	4.633171488
FUNasv9	Fun	0.04737455
FUNasv10	Fun	0.098069888
FUNasv11	Fun	3.618777613
FUNasv12	Fun	1.2840436
FUNasv13	Fun	0.0376558
FUNasv14	Fun	0.461626075
FUNasv16	Fun	0.186029575
FUNasv17	Fun	1.940235325
FUNasv18	Fun	0.01543195
FUNasv19	Fun	0.14041355
FUNasv20	Fun	0.101157275
FUNasv22	Fun	0.916143913
FUNasv23	Fun	1.812228925
FUNasv24	Fun	1.209810588
FUNasv27	Fun	1.88664585
FUNasv28	Fun	1.431327663
FUNasv29	Fun	1.02049875
FUNasv30	Fun	0.970665963
FUNasv31	Fun	0.557463163
FUNasv32	Fun	0.063556375
FUNasv33	Fun	0.11190735
FUNasv34	Fun	0.647259525
FUNasv35	Fun	0.187986713
FUNasv36	Fun	0.088571
FUNasv38	Fun	0.20170945
FUNasv39	Fun	6.064151875
FUNasv40	Fun	0.11398755
FUNasv41	Fun	1.326870075
FUNasv43	Fun	0.688003738
FUNasv44	Fun	0.672990425
FUNasv45	Fun	0.154999113
FUNasv47	Fun	0.902571538
