ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_2,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Pro_ASV85,0,0,0.000588235,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV86,0,0,0,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0
Pro_ASV87,0,0,0.000588235,0.005294118,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV88,0,0,0,0,0.000588235,0.001764706,0.001176471,0,0,0,0,0,0.003529412,0,0,0.001176471
Pro_ASV89,0,0,0,0.007647059,0,0,0.000588235,0.002352941,0,0,0,0,0,0.000588235,0,0
Pro_ASV90,0.000588235,0.001764706,0.002941176,0.012352941,0.009411765,0.007058824,0.019411765,0.011176471,0,0.005294118,0.006470588,0.010588235,0.006470588,0.004705882,0.008235294,0
Pro_ASV91,0.042941176,0.050588235,0.017058824,0.011176471,0.004117647,0,0.010588235,0.000588235,0,0.038823529,0.097058824,0.114117647,0.01,0.012352941,0.007647059,0.002352941
Pro_ASV92,0,0,0,0.004117647,0,0.001176471,0,0,0,0.002941176,0,0,0,0,0,0
Pro_ASV93,0.003529412,0,0.000588235,0,0.000588235,0,0.000588235,0,0,0,0.001764706,0.000588235,0,0.003529412,0,0.002352941
Pro_ASV94,0,0,0,0,0,0.002352941,0.002941176,0.001764706,0,0,0,0.000588235,0,0,0,0
Pro_ASV95,0,0.009411765,0.002941176,0.000588235,0.001176471,0.000588235,0.002941176,0,0,0.001176471,0.003529412,0.002941176,0,0.006470588,0,0
Pro_ASV96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006470588,0
Pro_ASV97,0,0.041176471,0.020588235,0.000588235,0.005882353,0.014705882,0.02,0.004705882,0,0.002352941,0.034117647,0.025882353,0.028823529,0.012352941,0.010588235,0.000588235
Pro_ASV98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005882353,0
Pro_ASV99,0,0,0,0,0.01,0,0.005882353,0,0,0,0,0,0.001176471,0.004117647,0.005294118,0.000588235
Pro_ASV100,0,0,0,0,0.001764706,0,0.002352941,0,0,0,0,0,0,0,0.001176471,0.000588235
