ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Class	Abundance
FUNasv166	0.000319527	0	0.00012427	0.000157141	0.001039157	0.000335132	0.000165075	0	Sordariomycetes	0.000267538
FUNasv167	0.000109837	0.000146358	0.000289963	0.000229668	0	0	0	0	Sordariomycetes	9.70E-05
FUNasv168	0.000199704	0	0	0	0	0	0	0	Dothideomycetes	2.50E-05
FUNasv169	0.000249631	6.10E-05	6.90E-05	8.46E-05	3.78E-05	0	0	0	Glomeromycetes	6.28E-05
FUNasv174	0.000149778	0	0	0	0	0.000122882	0	0	Agaricomycetes	3.41E-05
FUNasv175	0.000349483	0.000182947	0.000110462	7.25E-05	0	0	3.81E-05	0	Leotiomycetes	9.42E-05
FUNasv176	0.000179734	0.000146358	0.000138078	0.00010879	0	0.001463409	0.001536469	0.000488852	Eurotiomycetes	0.000507711
FUNasv177	0.000139793	8.54E-05	0	0	0	0	0	0	Sordariomycetes	2.81E-05
FUNasv179	0.000469305	0.00017075	0	0	0	0	0	0	Sordariomycetes	8.00E-05
FUNasv180	0.000379438	0.000146358	0.000110462	9.67E-05	0	0	0	0	Leotiomycetes	9.16E-05
FUNasv182	8.99E-05	0	0.000179501	9.67E-05	0.004799018	0.00357474	0.001053941	0.001108859	Sordariomycetes	0.001362829
FUNasv183	0	8.54E-05	0	7.25E-05	0	0	0	5.96E-05	Sordariomycetes	2.72E-05
FUNasv184	0.000659025	0.000609823	0.000400425	0.000664829	0	0	0	0	Mortierellomycetes	0.000291763
FUNasv185	0.000379438	0.000390287	0.000441849	0.000701093	0	0	0	0	Dothideomycetes	0.000239083
FUNasv186	0.000139793	0	0	0	0.001766567	0.001508093	0.000888866	0.000166925	Eurotiomycetes	0.000558781
FUNasv187	0.000489276	0.000365894	0.00012427	0.000290107	0	0	0	0	Sordariomycetes	0.000158693
FUNasv191	0.000399409	0.000158554	0	0	0	0	0	0	Sordariomycetes	6.97E-05
FUNasv192	0	0	0.000138078	6.04E-05	7.56E-05	0.002144844	0.002018996	0.000274234	Eurotiomycetes	0.000589021
FUNasv193	0.000728921	0.000304912	0	0	0	0	0	0	Agaricomycetes	0.000129229
FUNasv194	0.000179734	0.00100011	0	7.25E-05	0	0	0	0	Sordariomycetes	0.000156546
FUNasv197	0.001367975	0	0.000676581	0.00077362	0	0	0	0	Sordariomycetes	0.000352272
FUNasv198	0.000129808	0	0	6.04E-05	0	0	0	0	Paraglomeromycetes	2.38E-05
FUNasv201	0.000469305	8.54E-05	0.000317579	0.000290107	0	0	0	0	Sordariomycetes	0.000145296
FUNasv203	0.000169749	8.54E-05	0	0	0.000585707	0.000357474	0.000342848	0.000155002	Agaricomycetes	0.000212019
FUNasv204	0	0	0	0	7.56E-05	0	0	0.000226541	Agaricomycetes	3.78E-05
FUNasv207	0	6.10E-05	2.76E-05	0	0.000859667	0.000279277	0.002082487	0.000393466	Dothideomycetes	0.000462937
FUNasv208	0.000239645	8.54E-05	0	0	0	0	0	0	Dothideomycetes	4.06E-05
FUNasv209	4.99E-05	0	0	0	0	8.94E-05	0	0	Sordariomycetes	1.74E-05
FUNasv210	0.000139793	0	0	0	0	4.47E-05	0	0	Eurotiomycetes	2.31E-05
FUNasv211	0.000179734	7.32E-05	0	0	9.45E-05	5.59E-05	6.35E-05	0	Sordariomycetes	5.83E-05
FUNasv212	0.00043935	0.000524448	0.000345194	0.000543951	0	0	0	0	Agaricomycetes	0.000231618
FUNasv214	5.99E-05	0	0	0	0.000170044	0.000301619	0.000215868	7.15E-05	Sordariomycetes	0.000102373
FUNasv217	0.000159764	0	0	0	0	0	0	0	Agaricomycetes	2.00E-05
FUNasv220	0.000639054	0.000561037	0.000952736	0.001027463	0	0.000178737	0.000368245	0.000166925	Sordariomycetes	0.000486775
FUNasv221	6.99E-05	0	9.67E-05	0	0	0	0	0	Rhizophydiomycetes	2.08E-05
FUNasv224	3.00E-05	3.66E-05	6.90E-05	0.00010879	0.000944688	0.000681435	0.000444433	0.00063193	Tremellomycetes	0.000368358
FUNasv226	0.000309542	4.88E-05	0	0	0	0	0	0	Sordariomycetes	4.48E-05
FUNasv227	0.000149778	0.000219536	0.000262348	0.000507688	0	0	6.35E-05	0	Dothideomycetes	0.000150355
FUNasv229	0	6.10E-05	0	0	0.000632941	0.000167566	0.000126981	0.000143079	Sordariomycetes	0.000141444
FUNasv230	0.001138315	0.001366004	0.000510887	0.001003288	0	0.000189908	0	0	Sordariomycetes	0.00052605
FUNasv231	0.000259616	0	0	7.25E-05	0	0	0	0	Sordariomycetes	4.15E-05
