nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv310	-0.524159019427181	0.625133499466002	53	2
BACasv312	-0.589347372401168	0.301030519223147	174	4
BACasv313	1.23069316183659	0.0828890844159205	278	4
BACasv315	1.21405479183966	0.591006944444444	240	3
BACasv32	0.759450163582312	0.299444444444444	60	2
BACasv320	-1.36510235420743	0.229263082947668	106	4
BACasv327	1.12626460659344	0.0299556159551244	263	4
BACasv328	0.19362643186926	0.120707596253902	93	3
BACasv33	1.05877221532243	0.49970255800119	246	3
BACasv333	0.410183084926126	0.297149658203125	256	4
BACasv334	0.529530005204012	0.182357025521177	243	4
BACasv335	1.31754111271687	0.118921642731167	63	2
BACasv337	-1.75195910752322	0.444444444444444	12	2
BACasv339	1.14118297162818	0.090702947845805	273	4
BACasv340	-1.55884836025382	0.486111111111111	12	3
BACasv341	-0.468349924513725	0.522675736961451	42	2
BACasv342	0.67871365555137	0.327184606481482	288	4
BACasv343	0.753305480725048	0.424733295632087	323	4
BACasv344	-0.404303176160667	0.355433622923335	81	1
BACasv345	0.526374810120478	0.518471755763743	199	3
BACasv346	0.836939963154947	0.498761286623943	221	3
BACasv347	-0.524159019427181	0.439814814814815	36	2
BACasv349	1.14118297162818	0.057919358431722	268	4
BACasv35	-1.40985744931163	0.299638077602895	109	4
BACasv350	0.20135921444775	0.477449008905487	59	2
BACasv352	1.31754111271687	0.0920915712799167	62	2
BACasv353	1.14118297162818	0.090702947845805	273	4
BACasv354	1.15011382797651	0.333267208887126	71	2
BACasv355	1.31754111271687	0.189623507805326	66	2
BACasv360	-0.708694292679054	0.0285654274312119	138	4
BACasv362	-0.356731734686813	0.535899653979239	68	2
BACasv364	-1.49936763952005	0.36747748506018	109	4
BACasv369	0.871068353409225	0.104938271604938	54	2
BACasv370	-0.937718054184878	0.315082644628099	44	3
BACasv371	0.526374810120478	0.518471755763743	199	3
BACasv375	1.12626460659344	0.0299556159551244	263	4
BACasv376	0.648876925481898	0.349031438921828	293	4
BACasv377	-0.708694292679054	0.12919872396322	146	4
BACasv378	0.305754529682976	0.468365388234409	326	4
BACasv380	-1.07081740548537	0.525124490719783	47	3
BACasv383	0.424595594101575	0.434443288241415	62	2
BACasv386	-1.35919933330309	0.351239669421488	22	3
BACasv387	-0.2451135448599	0.393813206424747	41	2
BACasv390	-0.635777209254094	0.646484375	64	2
BACasv391	0.544448370238748	0.457856399583767	341	4
BACasv392	0.18640760940509	0.4729243305249	318	4
BACasv393	0.529530005204012	0.245799491598983	254	4
BACasv395	-1.2260999820026	0.1472	25	3
BACasv4	0.872652401002934	0.0980545943867743	255	4
BACasv40	-0.2451135448599	0.605480062374694	67	2
BACasv400	-0.708694292679054	0.0285654274312119	138	4
BACasv402	-0.635777209254094	0.499444444444444	60	2
BACasv404	0.395264719891391	0.318163277198299	262	4
BACasv406	-1.38138255851983	0.467279610600325	43	3
BACasv407	0.368786499188119	0.19013128112268	47	2
BACasv408	-1.24967725330211	0.231111111111111	15	2
BACasv41	0.395264719891391	0.447958825063202	297	4
BACasv414	0.827897305898727	0.182401492452937	266	4
BACasv415	-2.26020425629157	0.457465277777778	48	4
BACasv416	0.637290936204217	0.507007875517248	229	3
BACasv417	0.326725783169747	0.499444444444444	180	3
BACasv418	1.08150951148923	0.147611407277056	278	4
BACasv419	0.528558598475255	0.597203978232314	146	1
BACasv420	-1.1817335315691	0.514991181657848	63	3
BACasv422	0.759450163582312	0.299444444444444	60	2
BACasv424	-1.2260999820026	0.1472	25	3
BACasv432	-1.91708186049265	0.298952996212965	67	4
BACasv433	1.05877221532243	0.399524375743163	174	3
