nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity	type
FUNasv34	0.970831710888185	0.341002883147719	133	1	Peripherals
FUNasv340	0.358043856783991	0	85	1	Peripherals
FUNasv345	0.616059795354178	0	93	1	Peripherals
FUNasv346	1.22661700377012	0.0860319779238699	111	2	Peripherals
FUNasv348	1.13209167249455	0.440253010211858	162	1	Peripherals
FUNasv349	0.241902556520402	0.299875052061641	98	2	Peripherals
FUNasv35	0.507017984626095	0.493343195266272	156	2	Peripherals
FUNasv350	-2.28661951356043	0	3	1	Peripherals
FUNasv354	0.616059795354178	0	93	1	Peripherals
FUNasv355	-2.44712535712305	0.18	10	2	Peripherals
FUNasv358	0.166155291347347	0.490383078480473	137	2	Peripherals
FUNasv359	1.06758768785201	0.427554630593132	155	1	Peripherals
FUNasv360	0.241902556520402	0.299875052061641	98	2	Peripherals
FUNasv363	0.358043856783991	0	85	1	Peripherals
FUNasv368	0.128281658760819	0.424965506046587	111	2	Peripherals
FUNasv369	0.616059795354178	0	93	1	Peripherals
FUNasv370	-1.60932767481368	0.197530864197531	27	1	Peripherals
FUNasv372	-0.351499974284023	0.03076171875	64	1	Peripherals
FUNasv375	-0.157988020356383	0.348440853427598	89	1	Peripherals
FUNasv376	1.06758768785201	0.427554630593132	155	1	Peripherals
FUNasv377	0.166155291347347	0.481790105471709	131	2	Peripherals
FUNasv38	-0.023212871585291	0.484261186264308	124	2	Peripherals
FUNasv381	-1.08367458400806	0.347800237812128	58	2	Peripherals
FUNasv382	0.616059795354178	0	93	1	Peripherals
FUNasv383	-0.439822830037094	0	62	2	Peripherals
FUNasv384	-0.780685523315842	0.316345270890725	66	2	Peripherals
FUNasv385	0.616059795354178	0	93	1	Peripherals
FUNasv389	1.22661700377012	0.0860319779238699	111	2	Peripherals
FUNasv39	0.393397086866512	0.232118184716761	97	2	Peripherals
FUNasv390	-0.439822830037094	0	62	2	Peripherals
FUNasv399	1.29335163410092	0.393491124260355	156	1	Peripherals
FUNasv40	0.43127071945304	0.298631656804734	104	2	Peripherals
FUNasv404	-2.14413629643083	0.188365650969529	19	2	Peripherals
FUNasv407	0.73425978014526	0.175322839098878	103	2	Peripherals
FUNasv412	0.970831710888185	0.371350556605755	138	1	Peripherals
FUNasv414	-0.439822830037094	0	62	2	Peripherals
FUNasv416	-1.08367458400806	0.347800237812128	58	2	Peripherals
FUNasv417	1.22884764945837	0.416439223131996	159	1	Peripherals
FUNasv419	0.73425978014526	0.11386593204775	99	2	Peripherals
FUNasv422	0.616059795354178	0	93	1	Peripherals
FUNasv424	-2.25775719419042	0.345679012345679	18	2	Peripherals
FUNasv426	-0.288328299690984	0	66	2	Peripherals
FUNasv428	1.15086973859706	0.103140495867769	110	2	Peripherals
FUNasv429	1.15086973859706	0.103140495867769	110	2	Peripherals
FUNasv43	1.00308370320946	0.390239131497873	143	1	Peripherals
FUNasv439	-0.288328299690984	0	66	2	Peripherals
FUNasv440	1.22661700377012	0.0860319779238699	111	2	Peripherals
FUNasv447	-0.439822830037094	0	62	2	Peripherals
FUNasv448	0.293539872141444	0.490617376618503	146	1	Peripherals
FUNasv449	-0.439822830037094	0	62	2	Peripherals
FUNasv450	-0.629190992969732	0	57	2	Peripherals
FUNasv455	-0.439822830037094	0	62	2	Peripherals
FUNasv457	-0.439822830037094	0	62	2	Peripherals
FUNasv464	1.15086973859706	0.103140495867769	110	2	Peripherals
FUNasv465	-0.780685523315842	0.316345270890725	66	2	Peripherals
FUNasv468	-2.28661951356043	0	3	1	Peripherals
FUNasv47	-0.60951591285421	0.0350765306122449	56	1	Peripherals
FUNasv470	0.00327194124998407	0.492653810835629	132	1	Peripherals
FUNasv476	0.358043856783991	0	85	1	Peripherals
FUNasv478	0.241902556520402	0.299875052061641	98	2	Peripherals
FUNasv48	-0.667064625556259	0.42	80	2	Peripherals
FUNasv486	-0.439822830037094	0	62	2	Peripherals
FUNasv49	0.0904080261742917	0.492071330589849	135	2	Peripherals
FUNasv496	-1.41581572088604	0.375	40	1	Peripherals
FUNasv497	0.358043856783991	0	85	1	Peripherals
FUNasv5	0.970831710888185	0.409832989303809	146	1	Peripherals
FUNasv50	0.393397086866512	0.487419738406659	145	2	Peripherals
FUNasv500	0.73425978014526	0.11386593204775	99	2	Peripherals
FUNasv502	-0.439822830037094	0	62	2	Peripherals
FUNasv503	-2.44712535712305	0.18	10	2	Peripherals
FUNasv507	0.874075733924365	0.490025216253312	177	1	Peripherals
FUNasv51	0.658512514972205	0.482036823443975	153	2	Peripherals
FUNasv517	-0.439822830037094	0	62	2	Peripherals
FUNasv518	0.616059795354178	0	93	1	Peripherals
FUNasv52	-2.71224078522875	0	2	2	Peripherals
FUNasv522	-0.439822830037094	0	62	2	Peripherals
FUNasv523	-1.08367458400806	0.347800237812128	58	2	Peripherals
FUNasv53	-0.190240012677656	0.0285654274312119	69	1	Peripherals
FUNasv530	0.73425978014526	0.11386593204775	99	2	Peripherals
FUNasv532	-0.439822830037094	0	62	2	Peripherals
FUNasv533	-2.44712535712305	0.18	10	2	Peripherals
FUNasv534	-2.40925172453653	0	10	2	Peripherals
FUNasv545	0.132279910535078	0.485047204477359	133	1	Peripherals
FUNasv546	-1.09329579767331	0	40	1	Peripherals
FUNasv55	-1.57707568249241	0.191326530612245	28	1	Peripherals
FUNasv552	-2.71224078522875	0	2	2	Peripherals
FUNasv561	0.358043856783991	0	85	1	Peripherals
FUNasv570	-0.288328299690984	0	66	2	Peripherals
FUNasv571	-0.780685523315842	0.316345270890725	66	2	Peripherals
FUNasv575	-2.71224078522875	0	2	2	Peripherals
FUNasv58	0.100027918213804	0.384430473372781	104	1	Peripherals
FUNasv594	0.616059795354178	0	93	1	Peripherals
FUNasv6	0.261287879820171	0.108336636279561	87	1	Peripherals
FUNasv606	-1.09329579767331	0	40	1	Peripherals
FUNasv61	-0.641767905175483	0	54	1	Peripherals
FUNasv62	0.648311787675452	0.426903114186851	136	1	Peripherals
FUNasv63	-0.0610865041718185	0.494201183431953	130	2	Peripherals
FUNasv64	0.355523454279985	0.488329475308642	144	2	Peripherals
FUNasv65	1.03724884083748	0.42644023268906	146	2	Peripherals
FUNasv650	-0.439822830037094	0	62	2	Peripherals
FUNasv66	0.874075733924365	0.365424840296229	133	1	Peripherals
FUNasv68	-2.25436752123915	0	4	1	Peripherals
FUNasv69	0.712815772317998	0.438008331680222	142	1	Peripherals
FUNasv7	-1.48031970552859	0	28	1	Peripherals
FUNasv71	0.43127071945304	0.486489022330644	146	2	Peripherals
FUNasv73	1.13209167249455	0.440253010211858	162	1	Peripherals
FUNasv74	-0.60951591285421	0.3715518859073	73	1	Peripherals
FUNasv75	-0.093484035713836	0.4118	100	1	Peripherals
FUNasv77	-2.25436752123915	0	4	1	Peripherals
FUNasv79	-2.18986353659661	0	6	1	Peripherals
FUNasv8	0.712815772317998	0.349635796045786	124	1	Peripherals
FUNasv80	-0.70627188981803	0.160049245921822	57	1	Peripherals
FUNasv81	0.841823741603092	0.394267142628803	137	1	Peripherals
FUNasv83	1.03724884083748	0.458923282891801	157	2	Peripherals
FUNasv84	1.11299610601054	0.474418934240363	168	2	Peripherals
FUNasv85	-0.250454667104456	0.496748178980229	124	2	Peripherals
FUNasv87	-0.0612320433925627	0.499054820415879	138	1	Peripherals
FUNasv88	0.648311787675452	0.487120865721689	162	1	Peripherals
FUNasv9	0.422547841426538	0.497256515775034	162	1	Peripherals
FUNasv93	0.507017984626095	0.493343195266272	156	2	Peripherals
FUNasv94	-0.250454667104456	0	67	2	Peripherals
FUNasv95	-0.174707401931401	0.493626430801249	124	2	Peripherals
FUNasv98	0.745067764639272	0.354371378180902	126	1	Peripherals
FUNasv99	0.241902556520402	0.477502295684114	132	2	Peripherals
