ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
FUNasv243	9.85E-05	0.000149173	0.000484267	0.000220476	0.000407531	0	2.95E-05	0
FUNasv247	0	0	0	0	7.13E-05	0.000756782	0.001365476	0.000397166
FUNasv250	0.000525325	0.000481944	0.000332569	0	0.000203766	0	0	0
FUNasv262	0	9.18E-05	0.00012836	0.000110238	0.00029546	0.001676563	0.00041259	0.000413052
FUNasv274	0.00112726	0.000883565	0	0	9.17E-05	0	0	0
FUNasv290	0.000109443	2.87E-05	0.000402584	0.000275594	0.000173201	0	0	0
FUNasv292	0.00015322	8.03E-05	3.50E-05	0	0.000122259	0.000477355	0.000284883	0.000397166
FUNasv293	0	0	0	0	0.000387155	0.000477355	0.000432237	0.000270073
FUNasv294	0	0	0	0	0.000376966	0.000407498	0.000334001	0.000460712
FUNasv296	0	0	0	0	0.000183389	0.000256142	0.000245589	0.000381279
FUNasv307	0.000120387	9.18E-05	9.92E-05	0.000132285	0.00029546	0.000605426	0.000402766	0.00019064
FUNasv310	0	0	0	0	0.000478849	0	0	0
FUNasv312	0	0.000269659	0.00025672	0	0.000152824	0	0	0
FUNasv317	0	0	0	0	7.13E-05	0.000454069	0	0
FUNasv318	0	0	5.25E-05	5.51E-05	0.000101883	0.000407498	0.000383119	0.000158866
FUNasv320	0	0	0	7.72E-05	0.000213954	0.000162999	0.000314354	0.000460712
FUNasv323	0	2.87E-05	0	0	0.000101883	0.00108278	0.000176824	0.000158866
FUNasv331	0	0	0	0	0.00035659	0	0.000334001	0.000444826
FUNasv341	0	0	0	0	0.000275084	0.000849924	0.000117883	9.53E-05
FUNasv343	0	0	0	4.41E-05	0.000203766	0.00058214	0.000284883	0.000111206
FUNasv344	0.000120387	0	0.000105022	0	0.000122259	0	0.000844827	0.000524259
FUNasv356	0	0	0	0	0.000264895	0.000325998	0.00013753	0.00019064
FUNasv368	5.47E-05	6.31E-05	9.34E-05	4.41E-05	3.06E-05	0	4.91E-05	0
FUNasv372	7.66E-05	6.88E-05	0	0	6.11E-05	0.000104785	7.86E-05	0.00019064
FUNasv386	0	0	0	0	0.000611297	0	0	0
FUNasv387	0	0	0	0	0.000101883	0.000162999	8.84E-05	0.000428939
FUNasv404	0	0.000154911	0.000145864	0	5.09E-05	0	0	0
FUNasv411	0	0	0	0	0.000163012	0.00029107	2.95E-05	7.94E-05
FUNasv412	0.000142276	4.02E-05	0	0	0.000468661	0.000174642	0.000167001	0.000254186
FUNasv424	0	5.16E-05	8.17E-05	0	5.09E-05	0	0	0
FUNasv441	0	0	0	0	0.00029546	0	8.84E-05	0
FUNasv442	0	0	0	0	0.000244519	0	0.00013753	0
FUNasv448	9.85E-05	4.02E-05	0	8.82E-05	0.000132448	0.000104785	0.000127706	0.000111206
FUNasv450	7.66E-05	0.000160648	1.75E-05	0	4.08E-05	0	0	0
FUNasv456	0	0	0	0	0.000101883	8.15E-05	2.95E-05	0.000206526
FUNasv460	3.28E-05	0	6.42E-05	0.000143309	3.06E-05	0	0	0
FUNasv462	0	0	0	0	9.17E-05	0.000256142	0	0
FUNasv471	3.28E-05	0	8.17E-05	0.00031969	6.11E-05	0	0	0
FUNasv481	0	0	0	0	6.11E-05	0	0.000206295	0
FUNasv495	0	0	0	0	0.000254707	0	0	0
FUNasv498	0	0	0	0	0.000244519	0	0	0
FUNasv499	2.19E-05	0	1.75E-05	0	0.000173201	0.000139714	0.000235766	0.000158866
FUNasv525	0	0	0	0	0.000112071	0	8.84E-05	0
FUNasv554	0	0	0	0	0.000163012	0	0.000127706	0.00014298
FUNasv583	0	0	0	0	9.17E-05	4.66E-05	0	0
FUNasv596	0	0	0	0	0.000122259	0	0	0
FUNasv597	0	0	0	0	0.000122259	0	0	0
FUNasv612	0	0	0	0	0.000112071	0	0	0
FUNasv623	0	0	0	0	0.000101883	0	0	0
FUNasv641	0	0	0	0	2.04E-05	8.15E-05	0	0
FUNasv683	0	0	0	0	6.11E-05	0	4.91E-05	0.000111206
