"","x"
"171",0.00378901560624266
"172",-0.00786877250900362
"173",-0.00680897358943576
"174",-0.00733887304921959
"175",0.0154468037214886
"176",0.00378901560624266
"177",-0.00839867196878764
"178",0.00378901560624266
"179",-0.00839867196878764
"180",-0.00521927521008406
"181",0.0154468037214886
"182",-0.00839867196878764
"183",0.0154468037214886
"184",-0.00786877250900362
"185",0.00272921668667462
"186",-0.00521927521008406
"187",-0.00839867196878764
"188",-0.00574917466986808
"189",-0.00786877250900362
"190",-0.00786877250900362
"191",0.0154468037214886
"192",0.0154468037214886
"193",0.00272921668667462
"194",0.00272921668667462
"195",0.0154468037214886
"196",0.0154468037214886
"197",0.0154468037214886
"198",0.00378901560624266
"199",-0.00786877250900362
"200",-0.00839867196878764
"201",0.0154468037214886
"202",-0.00680897358943576
"203",0.0154468037214886
"204",0.00272921668667462
"205",-0.00786877250900362
"206",-0.00680897358943576
"207",0.0154468037214886
"208",0.0154468037214886
"209",0.0154468037214886
"210",0.00272921668667462
"211",-0.00680897358943576
"212",0.0154468037214886
"213",0.0154468037214886
"214",0.0154468037214886
"215",0.0154468037214886
"216",0.0154468037214886
"217",0.0154468037214886
"218",0.0154468037214886
"219",0.0154468037214886
"220",0.0154468037214886
"221",-0.00680897358943576
"222",-0.00786877250900362
"223",0.0154468037214886
"224",0.0154468037214886
"225",-0.00839867196878764
"226",-0.00839867196878764
