label	Class	Abundance
FUNasv326	Eurotiomycetes	0.000109552
FUNasv328	Dothideomycetes	0.000172733
FUNasv330	Agaricomycetes	1.39E-05
FUNasv331	Sordariomycetes	0.000141927
FUNasv332	Eurotiomycetes	7.69E-05
FUNasv334	GS13	4.24E-05
FUNasv335	Sordariomycetes	0.000124324
FUNasv336	Sordariomycetes	4.52E-05
FUNasv338	Dothideomycetes	7.46E-05
FUNasv339	Leotiomycetes	5.99E-05
FUNasv340	Dothideomycetes	1.90E-05
FUNasv341	Sordariomycetes	0.000167276
FUNasv343	Agaricomycetes	0.000153261
FUNasv344	Agaricomycetes	0.000214594
FUNasv345	Sordariomycetes	8.22E-05
FUNasv346	Eurotiomycetes	3.05E-05
FUNasv348	Dothideomycetes	6.42E-05
FUNasv349	Leotiomycetes	8.67E-05
FUNasv350	Sordariomycetes	9.66E-05
FUNasv353	Dothideomycetes	3.44E-05
FUNasv354	Sordariomycetes	7.00E-05
FUNasv355	Agaricomycetes	1.79E-05
FUNasv356	Sordariomycetes	0.000114883
FUNasv358	Leotiomycetes	3.82E-05
FUNasv359	Leotiomycetes	5.88E-05
FUNasv360	Tremellomycetes	4.83E-05
FUNasv363	Glomeromycetes	8.83E-05
FUNasv364	Leotiomycetes	3.06E-05
FUNasv365	Dothideomycetes	2.07E-05
FUNasv368	Dothideomycetes	4.19E-05
FUNasv369	Blastocladiomycetes	5.74E-05
FUNasv370	Tremellomycetes	2.18E-05
FUNasv372	Dothideomycetes	7.26E-05
FUNasv374	Sordariomycetes	0.000123502
FUNasv375	Sordariomycetes	8.54E-05
FUNasv376	Dothideomycetes	6.32E-05
FUNasv377	Sordariomycetes	6.26E-05
FUNasv381	Sordariomycetes	2.60E-05
FUNasv382	Orbiliomycetes	5.36E-05
FUNasv383	Eurotiomycetes	7.49E-05
FUNasv384	Glomeromycetes	5.40E-05
FUNasv385	Kickxellomycetes	0.000112891
FUNasv386	Basidiobolomycetes	7.64E-05
FUNasv387	Pezizomycetes	9.78E-05
FUNasv388	Leotiomycetes	4.77E-05
FUNasv389	Laboulbeniomycetes	5.81E-05
FUNasv390	Dothideomycetes	6.70E-05
FUNasv393	Dothideomycetes	6.92E-05
FUNasv395	Sordariomycetes	8.69E-05
FUNasv396	Sordariomycetes	8.93E-05
FUNasv397	Dothideomycetes	7.52E-05
FUNasv399	Leotiomycetes	4.92E-05
FUNasv401	Agaricomycetes	0.000107235
FUNasv403	Tremellomycetes	3.93E-05
FUNasv404	Sordariomycetes	4.40E-05
FUNasv407	Eurotiomycetes	4.26E-05
FUNasv408	Sordariomycetes	8.38E-05
FUNasv411	Dothideomycetes	7.04E-05
FUNasv412	Eurotiomycetes	0.000155866
FUNasv414	Eurotiomycetes	4.34E-05
