	FUNasv2	FUNasv5	FUNasv6	FUNasv7	FUNasv9	FUNasv10	FUNasv11	FUNasv12	FUNasv13	FUNasv14	FUNasv16	FUNasv17	FUNasv18	FUNasv20	FUNasv24	FUNasv27	FUNasv29	FUNasv30	FUNasv32	FUNasv33	FUNasv34	FUNasv35	FUNasv36	FUNasv38	FUNasv40	FUNasv41	FUNasv43	FUNasv51	FUNasv52	FUNasv53	FUNasv58	FUNasv62	FUNasv63	FUNasv66	FUNasv67	FUNasv68	FUNasv73	FUNasv75	FUNasv76	FUNasv86	FUNasv89	FUNasv92	FUNasv98	FUNasv101	FUNasv102	FUNasv103	FUNasv112	FUNasv119	FUNasv132	FUNasv139	FUNasv140	FUNasv143	FUNasv146	FUNasv155	FUNasv156	FUNasv158	FUNasv163	FUNasv166	FUNasv169	FUNasv182	FUNasv186	FUNasv192	FUNasv203	FUNasv204	FUNasv207	FUNasv211	FUNasv214	FUNasv224	FUNasv229	FUNasv249	FUNasv254	FUNasv257	FUNasv269	FUNasv276	FUNasv277	FUNasv291	FUNasv296	FUNasv301	FUNasv309	FUNasv310	FUNasv313	FUNasv317	FUNasv325	FUNasv329	FUNasv330	FUNasv334	FUNasv340	FUNasv361	FUNasv364	FUNasv370	FUNasv378	FUNasv379	FUNasv394	FUNasv403	FUNasv406	FUNasv418	FUNasv419	FUNasv427	FUNasv477	FUNasv485	FUNasv501	FUNasv514	FUNasv515	FUNasv544	FUNasv568
FUNasv16	0	0	0	0	0	-0.952380952380952	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv17	0	0	0	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0.857142857142857	0	0	0	0	-0.833333333333333	0	0	0.714285714285714	0	0	-0.829515062006253	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.754504545005353	0	0	0	0	0	0	0	0	-0.707527552887687	0	0	0	0	0	0.826362120720149	0	0	-0.791039852105472	-0.722968462440373	0	0	0	0	-0.913223320977314	-0.938590635448906	0	0	0	0	0	-0.791039852105472	-0.707527552887687	0	0	0	0	0	0	-0.791039852105472	0	0	-0.791039852105472	0	0	-0.791039852105472	-0.791039852105472	0
FUNasv18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714550818366794	0	0.710284805204577	-0.938590635448906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv20	0	0	0	0	0	0	0	0	0.780720058358827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.790433332862751	0	0	0	0	0	0	0	0.95150257112482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv24	-0.857142857142857	-0.904761904761905	-0.738095238095238	0	0	0	0.898219696434944	-0.761904761904762	0	-0.952380952380952	0	0	0	0	0	0	0	-0.880952380952381	-0.904761904761905	-0.80511756018254	-0.80952380952381	-0.778457070243618	-0.714285714285714	-0.761904761904762	-0.761904761904762	0	0	0.857142857142857	0.976190476190476	0	0	-0.857142857142857	0	0	0.707527552887687	-0.714285714285714	0	0	0	0	0.738095238095238	0	-0.785714285714286	-0.80952380952381	-0.761904761904762	0.80952380952381	0	0	0.761904761904762	0	0	0.837121377562538	-0.718575757147955	0	0	0	0.802409595481884	0	-0.7319250547114	0.928571428571429	0.756322556535113	0	0	0.732588631506546	0.730552019767088	0	0	0.976190476190476	0.853912563829967	0	0	0	-0.754504545005353	0	0.714285714285714	0	0.811754063090946	0.811754063090946	0.763762615825973	0	0	0	0	0	0	0	0.875172349269926	0.875172349269926	0	0	0	0	0	0	0	0.732588631506546	0	0	0	0	0	0.732588631506546	0	0	0
FUNasv27	0	0	0	0	0	0	0	0	-0.780720058358827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95150257112482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv29	0	-0.714285714285714	-0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	-0.7319250547114	0	-0.778457070243618	0	-0.785714285714286	-0.833333333333333	0	0	0.714285714285714	0	0	0	0	-0.738095238095238	0	0	-0.80952380952381	0	0	0	-0.904761904761905	0	-0.838338383339281	-0.833333333333333	0	0	0.714285714285714	-0.853912563829967	-0.790433332862751	0.785714285714286	0	0	0.710284805204577	0	0	0.976190476190476	0.707527552887687	0.802409595481884	0	-0.80511756018254	0	0.80511756018254	0	0.754504545005353	0	0	0	0.902707567477393	0	0.780720058358827	0	-0.833333333333333	0	0	0	0.880952380952381	0	0.837121377562538	0.786386748619354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv30	0.785714285714286	0.738095238095238	0.714285714285714	0	0	0	-0.850314645958414	0.857142857142857	0	0.785714285714286	0	0.761904761904762	0	0	-0.880952380952381	0	0	0	0.738095238095238	0.780720058358827	0.738095238095238	0	0.880952380952381	0	0	0	0	-0.928571428571429	-0.904761904761905	0	0	0.857142857142857	0	-0.780720058358827	-0.756322556535113	0.738095238095238	0	0	0	0	-0.761904761904762	0	0.714285714285714	0.880952380952381	0.833333333333333	-0.928571428571429	0	0	0	0	0	-0.938590635448906	0	0	0	0	0	0	0	-0.904761904761905	-0.853912563829967	0	0	0	-0.766480807624486	0	-0.780720058358827	-0.904761904761905	-0.756322556535113	0	0.761904761904762	0	0.898219696434944	0	-0.80952380952381	-0.84559432466447	-0.86248869203413	-0.761019434147762	0	-0.763762615825973	0	-0.79907040585515	-0.773703091383558	0	0	0	0	0	-0.84559432466447	0	0	-0.763762615825973	0	0	0	0	-0.84559432466447	0	0	-0.84559432466447	-0.763762615825973	0	-0.84559432466447	-0.84559432466447	0
FUNasv32	0.904761904761905	1	0	0	0	0	-0.922172221673209	0.738095238095238	0.780720058358827	0.976190476190476	0	0	0	0	-0.904761904761905	0	-0.714285714285714	0.738095238095238	0	0.927105069301107	0.928571428571429	0.946124746911475	0	0.738095238095238	0.785714285714286	0	0	-0.80952380952381	-0.857142857142857	0	0	0.80952380952381	0.785714285714286	0	0	0.714285714285714	0	-0.785714285714286	0	0.714285714285714	-0.761904761904762	0.742528282386221	0	0.738095238095238	0	0	0.80511756018254	0	-0.833333333333333	0	0	-0.710284805204577	0.802409595481884	0	-0.738095238095238	0	-0.730552019767088	0	0.853912563829967	-0.880952380952381	0	-0.826362120720149	0	0	0	0	0	-0.880952380952381	-0.780720058358827	0	0	0	0.790433332862751	0	0	0	-0.786386748619354	-0.837121377562538	0	0	0	0	0	0	0	0	-0.735652119676169	-0.735652119676169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv33	0.927105069301107	0.927105069301107	0	0	0	0	-0.871313231271023	0.853912563829967	0.9	0.87831006565368	0	0	0	0	-0.80511756018254	0	-0.7319250547114	0.780720058358827	0.927105069301107	0	0.975900072948533	0.957217352663941	0.80511756018254	0.756322556535113	0	0	0	-0.829515062006253	-0.80511756018254	0	0	0.80511756018254	0.902707567477393	0	0	0.829515062006253	0	-0.87831006565368	0	0.756322556535113	-0.853912563829967	0.859041213929178	0	0.756322556535113	0.780720058358827	0	0.875	0	-0.87831006565368	0	0	-0.753819105119553	0.90812928329656	0	-0.756322556535113	0	0	0	0.925	-0.80511756018254	0	-0.944945335322096	0	0	-0.785409109878106	0	-0.75	-0.80511756018254	0	0	0.829515062006253	0	0.90812928329656	0	0	0	-0.805806629610556	-0.85779415410156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
