ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
FUNasv207	0	6.10E-05	2.76E-05	0	0.000859667	0.000279277	0.002082487	0.000393466
FUNasv208	0.000239645	8.54E-05	0	0	0	0	0	0
FUNasv211	0.000179734	7.32E-05	0	0	9.45E-05	5.59E-05	6.35E-05	0
FUNasv212	0.00043935	0.000524448	0.000345194	0.000543951	0	0	0	0
FUNasv220	0.000639054	0.000561037	0.000952736	0.001027463	0	0.000178737	0.000368245	0.000166925
FUNasv224	3.00E-05	3.66E-05	6.90E-05	0.00010879	0.000944688	0.000681435	0.000444433	0.00063193
FUNasv226	0.000309542	4.88E-05	0	0	0	0	0	0
FUNasv227	0.000149778	0.000219536	0.000262348	0.000507688	0	0	6.35E-05	0
FUNasv229	0	6.10E-05	0	0	0.000632941	0.000167566	0.000126981	0.000143079
FUNasv230	0.001138315	0.001366004	0.000510887	0.001003288	0	0.000189908	0	0
FUNasv232	9.99E-05	6.10E-05	0	0	0	0	0	0
FUNasv235	7.99E-05	0.000500055	0.000510887	0.00060439	0	0	0	0
FUNasv241	0.000239645	7.32E-05	6.90E-05	0	0	0	0	0
FUNasv243	0.000559172	0.000219536	9.67E-05	0	0	0	0	0
FUNasv245	0.000119823	6.10E-05	0	0	0	0	0	0
FUNasv249	0.000269601	0.000109768	0	8.46E-05	0.000614048	0	0	5.96E-05
FUNasv252	0.000339498	0.000353697	0.000179501	0.000447249	0	0	0	0
FUNasv254	0.00089867	0.000390287	0.000952736	0.00027802	8.50E-05	5.59E-05	2.54E-05	8.35E-05
FUNasv258	0	0.000402483	0	3.63E-05	0	0	0	0
FUNasv259	0.000189719	0.000573234	0.00037281	0.000314283	0	0	0	0
FUNasv268	0.000319527	0.000268322	0	0.000435161	0	0	0	0
FUNasv269	0.000269601	0.00041468	0.000193309	0.000193405	4.72E-05	0	0	0.000107309
FUNasv270	0.000389424	0.00020734	0.000303771	0.000362634	0	0	0	0
FUNasv272	0.000599113	0.001439182	0.000510887	0.000290107	0	0	0	0.000178848
FUNasv276	0.000199704	0.000439073	0.000110462	0	0.000358982	0	0.000101585	0
FUNasv277	0.000139793	4.88E-05	0	0.00010879	0.000670729	0.001251159	0.000241264	0.000155002
FUNasv287	0.000149778	8.54E-05	0	0	0	0	0	0
FUNasv289	0.000199704	7.32E-05	0.000179501	0.000302195	0	0	0	0
FUNasv295	0.000309542	0.000109768	0.000276155	0.000290107	0	0	3.81E-05	0
FUNasv298	0.000559172	0.000329304	0	0	0	0	0	0
FUNasv300	5.99E-05	6.10E-05	6.90E-05	6.04E-05	0	0	0	2.38E-05
FUNasv319	8.99E-05	9.76E-05	0.000207117	0.000145054	0	0	0	0
FUNasv322	0	0.000195143	0	0	0	0	0	0
FUNasv328	0.000139793	6.10E-05	0.000207117	4.84E-05	0	0	0	0
FUNasv330	0.000289571	0.000597627	5.52E-05	4.84E-05	0.000538472	0.000145224	0	0
FUNasv338	0	0.00017075	0	0	0	0	0	0
FUNasv339	6.99E-05	0.000109768	0	8.46E-05	0	0	0	0
FUNasv345	6.99E-05	8.54E-05	0	0	0	0	0	0
FUNasv346	6.99E-05	0.000158554	0.000193309	0.000169229	0	0	0	0
FUNasv353	0.000269601	2.44E-05	0.000386618	0	0	0	0	0
FUNasv355	3.99E-05	0.000329304	0.000345194	0.000350546	0	0	0	0
FUNasv357	3.00E-05	4.88E-05	0	3.63E-05	0	0	0	0
FUNasv360	0	6.10E-05	0	0.000157141	0	0	0	0
FUNasv363	0	0.000158554	0	0	0	0	0	0
FUNasv365	0.000419379	6.10E-05	0.000289963	0	0	0	0	0
FUNasv375	0.000119823	0.000121965	0	0	0	0	0	0
FUNasv382	6.99E-05	8.54E-05	0	0	0	0	0	0
FUNasv400	0	0.000134161	0	0	0	0	0	0
FUNasv436	0	0.000182947	0	0	0	0	0	0
FUNasv459	0.000139793	2.44E-05	0	0	0	0	0	0
FUNasv468	0	7.32E-05	0	0.000145054	0	0	0	0
FUNasv473	0.000199704	0.000109768	0	0.000132966	0	0	0	0
FUNasv478	0	0.000109768	0	8.46E-05	0	0	0	0
FUNasv497	0	0.000121965	0	2.42E-05	0	0	0	5.96E-05
FUNasv502	4.99E-05	7.32E-05	0	0	0	0	0	0
FUNasv519	0	7.32E-05	0	8.46E-05	0	0	0	0
FUNasv540	0	0.000219536	0	0	0	0	0	0
FUNasv556	4.99E-05	0.000121965	0	0	0	0	0	0
